PROJECT	SAMPLE	PATH	TYPE
758	697	/nfs/cancer_trk0007/00000024/87735.bam	bam
758	697	/nfs/cancer_trk0007/00000023/87736.bam.bai	bam bai
758	23132-87						/nfs/cancer_trk0005/00000018/98448.bam	bam
758	23132-87						/nfs/cancer_trk0001/00000005/98449.bam.bai	bam bai
758	42-MG-BA						/nfs/cancer_trk0073/00000282/1714757.bam	bam
758	42-MG-BA						/nfs/cancer_trk0073/00000282/1714758.bam.bai	bam bai
758	8-MG-BA							/nfs/cancer_trk0013/00000045/99861.bam		bam
758	8-MG-BA							/nfs/cancer_trk0006/00000021/99862.bam.bai	bam bai
758	A101D							/nfs/cancer_trk0005/00000019/69665.bam		bam
758	A101D							/nfs/cancer_trk0001/00000005/69666.bam.bai	bam bai
758	A172							/nfs/cancer_trk0006/00000022/86735.bam		bam
758	A172							/nfs/cancer_trk0006/00000022/86736.bam.bai	bam bai
758	A204							/nfs/cancer_trk0006/00000022/86743.bam		bam
758	A204							/nfs/cancer_trk0006/00000022/86744.bam.bai	bam bai
758	A2058							/nfs/cancer_trk0005/00000019/69647.bam		bam
758	A2058							/nfs/cancer_trk0001/00000005/69648.bam.bai	bam bai
758	A253							/nfs/cancer_trk0006/00000022/86737.bam		bam
758	A253							/nfs/cancer_trk0006/00000022/86738.bam.bai	bam bai
758	A2780							/nfs/cancer_trk0006/00000022/86721.bam		bam
758	A2780							/nfs/cancer_trk0006/00000022/86722.bam.bai	bam bai
758	A375							/nfs/cancer_trk0005/00000019/69581.bam		bam
758	A375							/nfs/cancer_trk0001/00000005/69582.bam.bai	bam bai
758	A388							/nfs/cancer_trk0006/00000022/86741.bam		bam
758	A388							/nfs/cancer_trk0006/00000022/86742.bam.bai	bam bai
758	A3-KAW							/nfs/cancer_trk0010/00000031/104061.bam		bam
758	A3-KAW							/nfs/cancer_trk0009/00000030/104062.bam.bai	bam bai
758	A431							/nfs/cancer_trk0006/00000022/86725.bam		bam
758	A431							/nfs/cancer_trk0006/00000022/86726.bam.bai	bam bai
758	A498							/nfs/cancer_trk0007/00000023/87591.bam		bam
758	A498							/nfs/cancer_trk0007/00000023/87592.bam.bai	bam bai
758	A4-Fuk							/nfs/cancer_trk0005/00000019/69619.bam		bam
758	A4-Fuk							/nfs/cancer_trk0001/00000005/69620.bam.bai	bam bai
758	A549							/nfs/cancer_trk0005/00000019/80037.bam		bam
758	A549							/nfs/cancer_trk0005/00000019/80038.bam.bai	bam bai
758	A673							/nfs/cancer_trk0006/00000022/86733.bam		bam
758	A673							/nfs/cancer_trk0006/00000022/86734.bam.bai	bam bai
758	A704							/nfs/cancer_trk0007/00000023/87593.bam		bam
758	A704							/nfs/cancer_trk0007/00000023/87594.bam.bai	bam bai
758	AGS							/nfs/cancer_trk0005/00000019/68108.bam		bam
758	AGS							/nfs/cancer_trk0004/00000012/68109.bam.bai	bam bai
758	ALL-PO							/nfs/cancer_trk0010/00000031/104013.bam		bam
758	ALL-PO							/nfs/cancer_trk0007/00000024/104014.bam.bai	bam bai
758	AM-38							/nfs/cancer_trk0009/00000027/99867.bam		bam
758	AM-38							/nfs/cancer_trk0007/00000024/99868.bam.bai	bam bai
758	ARH-77							/nfs/cancer_trk0010/00000031/103975.bam		bam
758	ARH-77							/nfs/cancer_trk0009/00000029/103976.bam.bai	bam bai
758	AsPC-1							/nfs/cancer_trk0005/00000019/68160.bam		bam
758	AsPC-1							/nfs/cancer_trk0004/00000012/68161.bam.bai	bam bai
758	ATN-1							/nfs/cancer_trk0010/00000031/104003.bam		bam
758	ATN-1							/nfs/cancer_trk0009/00000029/104004.bam.bai	bam bai
758	AU565							/nfs/cancer_trk0002/00000007/73249.bam		bam
758	AU565							/nfs/cancer_trk0001/00000003/73250.bam.bai	bam bai
758	BALL-1							/nfs/cancer_trk0010/00000031/103981.bam		bam
758	BALL-1							/nfs/cancer_trk0009/00000029/103982.bam.bai	bam bai
758	BB30-HNC						/nfs/cancer_trk0006/00000022/86763.bam		bam
758	BB30-HNC						/nfs/cancer_trk0006/00000022/86764.bam.bai	bam bai
758	BC-1							/nfs/cancer_trk0010/00000031/104011.bam		bam
758	BC-1							/nfs/cancer_trk0007/00000024/104012.bam.bai	bam bai
758	BC-3							/nfs/cancer_trk0010/00000033/104049.bam		bam
758	BC-3							/nfs/cancer_trk0009/00000029/104050.bam.bai	bam bai
758	BE-13							/nfs/cancer_trk0010/00000031/104017.bam		bam
758	BE-13							/nfs/cancer_trk0007/00000024/104018.bam.bai	bam bai
758	Becker							/nfs/cancer_trk0009/00000027/99865.bam		bam
758	Becker							/nfs/cancer_trk0007/00000023/99866.bam.bai	bam bai
758	BEN							/nfs/cancer_trk0007/00000024/87683.bam		bam
758	BEN							/nfs/cancer_trk0006/00000022/87684.bam.bai	bam bai
758	BICR22							/nfs/cancer_trk0007/00000023/87603.bam		bam
758	BICR22							/nfs/cancer_trk0007/00000023/87604.bam.bai	bam bai
758	BICR78							/nfs/cancer_trk0007/00000023/87605.bam		bam
758	BICR78							/nfs/cancer_trk0007/00000023/87606.bam.bai	bam bai
758	BONNA-12						/nfs/cancer_trk0010/00000031/103973.bam		bam
758	BONNA-12						/nfs/cancer_trk0010/00000031/103974.bam.bai	bam bai
758	BT-20							/nfs/cancer_trk0004/00000012/98444.bam		bam
758	BT-20							/nfs/cancer_trk0001/00000005/98445.bam.bai	bam bai
758	BT-474							/nfs/cancer_trk0013/00000045/99869.bam		bam
758	BT-474							/nfs/cancer_trk0007/00000023/99870.bam.bai	bam bai
758	BT-483							/nfs/cancer_trk0007/00000023/89561.bam		bam
758	BT-483							/nfs/cancer_trk0007/00000023/89562.bam.bai	bam bai
758	BT-549							/nfs/cancer_trk0005/00000019/75081.bam		bam
758	BT-549							/nfs/cancer_trk0001/00000005/75082.bam.bai	bam bai
758	BV-173							/nfs/cancer_trk0010/00000031/104009.bam		bam
758	BV-173							/nfs/cancer_trk0007/00000024/104010.bam.bai	bam bai
758	C32							/nfs/cancer_trk0005/00000019/75085.bam		bam
758	C32							/nfs/cancer_trk0001/00000005/75086.bam.bai	bam bai
758	C-33-A							/nfs/cancer_trk0007/00000024/87743.bam		bam
758	C-33-A							/nfs/cancer_trk0007/00000023/87744.bam.bai	bam bai
758	C3A							/nfs/cancer_trk0005/00000019/68162.bam		bam
758	C3A							/nfs/cancer_trk0004/00000012/68163.bam.bai	bam bai
758	C8166							/nfs/cancer_trk0010/00000031/103989.bam		bam
758	C8166							/nfs/cancer_trk0007/00000024/103990.bam.bai	bam bai
758	CA46							/nfs/cancer_trk0010/00000031/104007.bam		bam
758	CA46							/nfs/cancer_trk0009/00000029/104008.bam.bai	bam bai
758	CAL-120							/nfs/cancer_trk0004/00000012/98446.bam		bam
758	CAL-120							/nfs/cancer_trk0002/00000006/98447.bam.bai	bam bai
758	CAL-12T							/nfs/cancer_trk0007/00000023/87715.bam		bam
758	CAL-12T							/nfs/cancer_trk0007/00000023/87716.bam.bai	bam bai
758	CAL-148							/nfs/cancer_trk0009/00000030/103827.bam		bam
758	CAL-148							/nfs/cancer_trk0007/00000024/103828.bam.bai	bam bai
758	CAL-29							/nfs/cancer_trk0007/00000023/87645.bam		bam
758	CAL-29							/nfs/cancer_trk0007/00000023/87646.bam.bai	bam bai
758	CAL-39							/nfs/cancer_trk0007/00000024/87745.bam		bam
758	CAL-39							/nfs/cancer_trk0007/00000023/87746.bam.bai	bam bai
758	CAL-51							/nfs/cancer_trk0009/00000030/103825.bam		bam
758	CAL-51							/nfs/cancer_trk0009/00000030/103826.bam.bai	bam bai
758	CAL-72							/nfs/cancer_trk0010/00000031/103648.bam		bam
758	CAL-72							/nfs/cancer_trk0002/00000008/103649.bam.bai	bam bai
758	CAL-78							/nfs/cancer_trk0007/00000023/88455.bam		bam
758	CAL-78							/nfs/cancer_trk0007/00000023/88456.bam.bai	bam bai
758	CAL-85-1						/nfs/cancer_trk0009/00000030/103819.bam		bam
758	CAL-85-1						/nfs/cancer_trk0002/00000008/103820.bam.bai	bam bai
758	Calu-6							/nfs/cancer_trk0005/00000019/80033.bam		bam
758	Calu-6							/nfs/cancer_trk0005/00000019/80034.bam.bai	bam bai
758	CAMA-1							/nfs/cancer_trk0005/00000019/69623.bam		bam
758	CAMA-1							/nfs/cancer_trk0001/00000003/69624.bam.bai	bam bai
758	CAPAN-1							/nfs/cancer_trk0005/00000019/68094.bam		bam
758	CAPAN-1							/nfs/cancer_trk0004/00000012/68095.bam.bai	bam bai
758	Capan-2							/nfs/cancer_trk0005/00000019/68166.bam		bam
758	Capan-2							/nfs/cancer_trk0004/00000012/68167.bam.bai	bam bai
758	CAS-1							/nfs/cancer_trk0009/00000030/103654.bam		bam
758	CAS-1							/nfs/cancer_trk0002/00000008/103655.bam.bai	bam bai
758	Ca-Ski							/nfs/cancer_trk0007/00000024/87737.bam		bam
758	Ca-Ski							/nfs/cancer_trk0007/00000023/87738.bam.bai	bam bai
758	CCK-81							/nfs/cancer_trk0007/00000023/86655.bam		bam
758	CCK-81							/nfs/cancer_trk0006/00000022/86656.bam.bai	bam bai
758	CCRF-CEM						/nfs/cancer_trk0010/00000031/103987.bam		bam
758	CCRF-CEM						/nfs/cancer_trk0007/00000024/103988.bam.bai	bam bai
758	CESS							/nfs/cancer_trk0010/00000031/104005.bam		bam
758	CESS							/nfs/cancer_trk0007/00000024/104006.bam.bai	bam bai
